diagnosis,severity
"Acne vulgaris - patient stable, outpatient treatment",LOW
"Bipolar disorder, unspecified",MEDIUM
Obstructive sleep apnea,MEDIUM
C34.90 - Malignant neoplasm of unspecified part of bronchus or lung,HIGH
chronic viral hepatitis c,MEDIUM
"impacted cerumen, unspecified ear",LOW
E56.0 Vitamin E deficiency,LOW
"Traumatic shock - acute emergency, rapid response",HIGH
"Hydrocephalus, unspecified - critical condition, ICU admission",HIGH
J00 Acute nasopharyngitis (common,LOW
"G40.909 Epilepsy, unspecified, not",MEDIUM
"Dysuria - minor condition, follow-up in 2 weeks",LOW
Atherosclerotic heart disease - follow-up required in 1 week,MEDIUM
"B07.9 - Viral wart, unspecified",LOW
C95.00 Acute leukemia of,HIGH
G47.33 - Obstructive sleep apnea,MEDIUM
"Hypothyroidism, unspecified - stable but requires medication adjustment",MEDIUM
I48.0 Paroxysmal atrial fibrillation,MEDIUM
pulmonary embolism without acute cor pulmonale,HIGH
"thrombocytopenia, unspecified",MEDIUM
contusion of finger,LOW
acute leukemia of unspecified cell type,HIGH
Acute and subacute hepatic failure,HIGH
"Low back pain - mild symptoms, no complications",LOW
"Viral wart, unspecified - no acute distress",LOW
Chronic gingivitis,LOW
obstructive sleep apnea,MEDIUM
"G91.9 - Hydrocephalus, unspecified",HIGH
"I50.9 - Heart failure, unspecified",HIGH
I26.99 Pulmonary embolism without,HIGH
"Human immunodeficiency virus (HIV) disease - advanced stage, palliative care discussed",HIGH
"Allergic rhinitis due to pollen - patient stable, outpatient treatment",LOW
"Superficial injury of unspecified body region - mild symptoms, no complications",LOW
C71.9 Malignant neoplasm of,HIGH
"Malignant neoplasm of unspecified site of breast - acute emergency, rapid response",HIGH
pain in unspecified joint,LOW
"urinary tract infection, site not specified",LOW
"I71.3 - Abdominal aortic aneurysm, ruptured",HIGH
K72.00 Acute and subacute,HIGH
"Schizophrenia, unspecified",HIGH
Acute leukemia of unspecified cell type,HIGH
J80 - Acute respiratory distress syndrome,HIGH
C43.9 Malignant melanoma of,HIGH
unspecified abdominal pain,LOW
Liver cell carcinoma,HIGH
Acne vulgaris - no acute distress,LOW
"abdominal aortic aneurysm, ruptured",HIGH
J44.1 Chronic obstructive pulmonary,MEDIUM
"Heart failure, unspecified",HIGH
"H66.90 Otitis media, unspecified",LOW
"E78.5 - Dyslipidemia, unspecified",MEDIUM
"F31.9 - Bipolar disorder, unspecified",MEDIUM
"allergic rhinitis, unspecified",LOW
E11.65 Type 2 diabetes,HIGH
"Gastro-esophageal reflux with esophagitis - moderate symptoms, requires monitoring",MEDIUM
"J02.9 - Acute pharyngitis, unspecified",LOW
"K59.00 - Constipation, unspecified",LOW
"Abdominal aortic aneurysm, ruptured - severe presentation, urgent care needed",HIGH
"Acute respiratory distress syndrome - life-threatening, immediate intervention",HIGH
"L20.9 Atopic dermatitis, unspecified",MEDIUM
K05.10 - Chronic gingivitis,LOW
"A41.9 Sepsis, unspecified organism",HIGH
traumatic shock,HIGH
Acute respiratory distress syndrome,HIGH
"B34.9 - Viral infection, unspecified",LOW
"Allergy, unspecified",LOW
ingrowing nail,LOW
"Acute tonsillitis, unspecified - no acute distress",LOW
"Anemia, unspecified - stable but requires medication adjustment",MEDIUM
pulmonary embolism without acute cor pulmonale,HIGH
M77.10 - Lateral epicondylitis,LOW
"G43.909 Migraine, unspecified, not",MEDIUM
"Constipation, unspecified - no acute distress",LOW
J80 - Acute respiratory distress syndrome,HIGH
Functional dyspepsia,LOW
